Input,Expected Output
77 / 82,0.94
51 / 90,0.57
34 - 54,-20
71 - 28,43
38 / 43,0.88
81 / 53,1.53
92 + 95,187
81 * 72,5832
78 * 26,2028
4 / 27,0.15
19 * 48,912
18 + 53,71
25 + 58,83
88 + 20,108
12 - 18,-6
54 * 81,4374
7 * 63,441
85 / 89,0.96
93 / 51,1.82
79 * 12,948
64 - 88,-24
50 - 50,0
65 + 8,73
56 * 52,2912
90 + 73,163
37 / 55,0.67
5 * 24,120
34 * 17,578
36 - 35,1
89 * 46,4094
41 / 57,0.72
65 + 46,111
12 / 89,0.13
52 / 99,0.53
55 - 45,10
65 * 1,65
71 - 52,19
61 - 4,57
26 * 97,2522
61 + 74,135
27 * 42,1134
23 / 95,0.24
74 - 87,-13
33 * 28,924
40 + 4,44
74 + 39,113
41 * 35,1435
44 + 61,105
68 + 47,115
23 - 96,-73
62 / 64,0.97
16 + 73,89
62 - 36,26
46 / 73,0.63
63 / 81,0.78
23 + 98,121
29 + 3,32
42 - 30,12
35 / 80,0.44
46 + 8,54
92 / 34,2.71
23 * 14,322
57 - 94,-37
93 - 1,92
69 / 61,1.13
30 - 78,-48
97 + 25,122
97 / 30,3.23
9 + 36,45
4 - 51,-47
45 / 75,0.6
82 + 17,99
55 + 96,151
59 - 69,-10
12 + 47,59
41 + 67,108
24 + 96,120
86 * 52,4472
55 - 35,20
88 + 15,103
25 / 10,2.5
40 * 4,160
78 - 29,49
14 / 70,0.2
18 * 19,342
95 + 63,158
59 * 17,1003
68 + 42,110
35 / 70,0.5
25 * 92,2300
53 / 57,0.93
67 + 77,144
89 * 11,979
51 - 86,-35
98 / 26,3.77
14 - 27,-13
91 + 37,128
8 / 18,0.44
69 * 78,5382
16 + 70,86
35 * 51,1785
39 - 8,31
67 - 91,-24
42 - 86,-44
6 + 59,65
71 - 5,66
33 * 66,2178
36 * 78,2808
80 - 26,54
99 + 57,156
15 / 51,0.29
64 - 69,-5
4 * 9,36
89 - 26,63
50 / 20,2.5
19 - 25,-6
75 * 50,3750
2 + 57,59
58 * 4,232
76 - 70,6
24 / 9,2.67
81 / 9,9.0
15 / 23,0.65
58 - 81,-23
93 - 22,71
73 + 87,160
39 - 20,19
1 - 70,-69
54 - 99,-45
39 / 9,4.33
42 - 86,-44
45 / 17,2.65
98 * 67,6566
14 / 30,0.47
48 + 71,119
73 / 97,0.75
67 * 24,1608
45 - 41,4
54 * 28,1512
57 + 34,91
80 * 41,3280
49 - 27,22
91 + 43,134
16 + 95,111
64 - 29,35
71 - 35,36
70 / 6,11.67
55 * 62,3410
46 * 75,3450
23 + 21,44
96 / 73,1.32
61 / 20,3.05
30 + 15,45
81 - 16,65
54 - 33,21
18 + 75,93
14 + 30,44
37 * 69,2553
44 + 96,140
13 + 13,26
9 + 20,29
46 * 22,1012
71 - 11,60
45 * 39,1755
42 + 37,79
66 / 68,0.97
15 / 54,0.28
99 / 27,3.67
96 * 53,5088
78 - 30,48
59 * 9,531
72 - 58,14
67 + 11,78
26 * 27,702
54 - 23,31
3 + 95,98
30 * 52,1560
54 + 63,117
18 * 59,1062
20 - 73,-53
9 + 78,87
49 - 93,-44
4 * 81,324
91 * 64,5824
38 / 12,3.17
60 - 71,-11
43 + 91,134
92 + 58,150
85 * 10,850
44 - 81,-37
49 - 21,28
62 / 24,2.58
39 + 26,65
17 - 50,-33
1 + 47,48
22 + 32,54
29 + 97,126
28 - 67,-39
50 - 39,11
39 + 98,137
65 * 58,3770
64 / 31,2.06
8 + 48,56
31 + 58,89
47 / 80,0.59
58 + 3,61
21 * 45,945
23 * 4,92
19 / 21,0.9
42 / 85,0.49
47 + 94,141
5 + 90,95
5 + 36,41
6 + 61,67
12 / 77,0.16
19 * 58,1102
74 + 46,120
43 / 16,2.69
67 - 84,-17
27 / 71,0.38
69 + 47,116
89 + 65,154
37 - 37,0
47 / 79,0.59
92 + 37,129
30 / 28,1.07
81 - 87,-6
63 - 29,34
83 / 67,1.24
7 - 12,-5
22 * 81,1782
98 * 4,392
84 - 24,60
24 - 78,-54
14 + 78,92
2 + 70,72
12 + 93,105
45 - 44,1
93 * 10,930
71 - 7,64
40 / 12,3.33
14 / 99,0.14
57 - 64,-7
42 / 28,1.5
89 + 21,110
77 / 15,5.13
99 / 15,6.6
26 - 70,-44
41 / 37,1.11
39 - 29,10
49 - 86,-37
22 - 6,16
73 / 17,4.29
25 * 64,1600
42 / 96,0.44
59 * 55,3245
91 - 31,60
3 + 35,38
12 + 96,108
27 / 18,1.5
90 + 46,136
65 * 34,2210
25 - 61,-36
73 / 93,0.78
91 * 7,637
37 + 93,130
71 * 70,4970
73 - 83,-10
28 / 8,3.5
85 * 22,1870
64 * 66,4224
74 / 76,0.97
35 / 55,0.64
80 - 73,7
68 * 84,5712
5 * 1,5
87 * 62,5394
67 * 75,5025
3 * 40,120
45 + 14,59
48 + 34,82
98 - 54,44
66 / 6,11.0
13 - 88,-75
36 / 72,0.5
83 - 69,14
28 * 48,1344
27 / 51,0.53
38 - 49,-11
20 + 80,100
33 / 82,0.4
22 - 79,-57
40 - 28,12
96 * 12,1152
20 * 72,1440
73 + 82,155
2 * 39,78
91 * 56,5096
57 - 3,54
38 * 46,1748
14 - 14,0
44 - 34,10
62 + 6,68
28 * 76,2128
46 / 44,1.05
34 / 60,0.57
26 - 14,12
95 + 49,144
35 + 86,121
90 / 24,3.75
15 / 21,0.71
3 / 68,0.04
77 - 87,-10
79 + 64,143
97 / 28,3.46
48 - 51,-3
94 * 70,6580
5 - 98,-93
99 + 8,107
59 * 51,3009
52 * 61,3172
1 * 24,24
73 + 24,97
14 + 20,34
53 - 69,-16
92 - 23,69
25 - 8,17
60 + 88,148
38 * 17,646
16 * 36,576
6 + 58,64
77 + 4,81
26 - 96,-70
8 * 23,184
7 / 20,0.35
50 / 48,1.04
65 * 24,1560
61 + 7,68
33 - 10,23
53 - 40,13
48 - 62,-14
55 / 40,1.38
71 / 41,1.73
10 + 22,32
48 / 9,5.33
59 + 37,96
81 / 9,9.0
73 - 36,37
58 * 15,870
16 - 42,-26
8 - 36,-28
35 / 55,0.64
53 * 34,1802
51 - 45,6
40 * 38,1520
45 - 29,16
91 + 35,126
44 / 26,1.69
85 * 53,4505
12 * 89,1068
18 / 70,0.26
13 * 40,520
55 * 57,3135
35 + 2,37
92 + 8,100
11 * 57,627
31 / 34,0.91
75 * 18,1350
14 / 86,0.16
14 / 34,0.41
73 - 1,72
88 - 8,80
19 - 65,-46
73 - 83,-10
16 * 40,640
50 - 45,5
58 / 12,4.83
57 / 30,1.9
16 / 45,0.36
68 - 93,-25
70 * 73,5110
29 - 43,-14
17 - 84,-67
29 / 93,0.31
20 - 16,4
17 * 95,1615
54 / 51,1.06
57 * 11,627
37 + 52,89
50 / 95,0.53
41 - 8,33
29 + 17,46
58 / 41,1.41
21 - 61,-40
34 - 44,-10
29 * 24,696
54 - 82,-28
13 / 44,0.3
70 - 42,28
9 - 17,-8
23 / 94,0.24
45 - 58,-13
56 * 70,3920
39 / 53,0.74
24 + 96,120
44 * 67,2948
11 - 92,-81
90 / 53,1.7
28 - 18,10
53 - 97,-44
86 * 43,3698
52 * 22,1144
78 - 66,12
85 / 44,1.93
73 / 60,1.22
99 - 59,40
70 - 98,-28
49 * 27,1323
55 / 46,1.2
62 / 64,0.97
89 - 62,27
34 / 11,3.09
52 * 70,3640
21 - 14,7
48 - 84,-36
68 * 4,272
98 / 59,1.66
46 - 74,-28
84 * 28,2352
30 * 85,2550
82 / 50,1.64
51 * 63,3213
20 - 87,-67
99 * 34,3366
72 * 12,864
53 / 27,1.96
49 / 21,2.33
43 - 13,30
29 * 86,2494
48 / 61,0.79
65 * 61,3965
1 * 7,7
76 - 15,61
59 * 18,1062
86 / 45,1.91
74 + 82,156
12 + 56,68
42 + 65,107
59 * 33,1947
77 * 13,1001
52 / 67,0.78
58 - 85,-27
41 - 16,25
93 / 69,1.35
83 + 34,117
52 - 94,-42
36 + 43,79
51 + 11,62
78 * 71,5538
96 / 38,2.53
72 * 33,2376
26 / 76,0.34
90 / 76,1.18
90 - 38,52
71 - 88,-17
20 * 93,1860
60 / 17,3.53
8 + 65,73
72 + 50,122
39 + 6,45
96 * 20,1920
31 / 99,0.31
34 - 86,-52
75 - 56,19
50 + 41,91
86 * 67,5762
77 - 61,16
52 + 84,136
9 + 86,95
41 / 56,0.73
27 - 9,18
91 + 7,98
81 / 2,40.5
14 * 71,994
55 * 11,605
10 / 11,0.91
63 * 51,3213
74 / 14,5.29
72 - 2,70
55 + 52,107
18 * 43,774
50 * 18,900
27 * 59,1593
50 / 67,0.75
96 / 89,1.08
91 * 24,2184
93 + 65,158
87 + 5,92
57 + 71,128
23 - 2,21
8 * 58,464
28 / 96,0.29
17 - 34,-17
81 - 89,-8
11 / 35,0.31
78 / 37,2.11
76 - 94,-18
41 / 21,1.95
11 * 53,583
51 / 68,0.75
2 + 85,87
4 / 16,0.25
24 + 54,78
65 + 89,154
72 - 8,64
68 - 67,1
34 * 69,2346
17 / 92,0.18
15 / 54,0.28
31 * 16,496
91 - 86,5
96 / 70,1.37
97 * 59,5723
11 + 41,52
29 * 38,1102
29 + 83,112
58 / 31,1.87
63 + 55,118
37 - 17,20
63 + 8,71
96 * 48,4608
17 - 69,-52
32 / 89,0.36
79 / 9,8.78
95 + 36,131
87 * 37,3219
55 * 97,5335
29 + 91,120
23 + 52,75
26 / 52,0.5
17 + 61,78
94 / 2,47.0
48 + 24,72
29 * 84,2436
62 - 60,2
40 / 94,0.43
12 + 8,20
70 * 75,5250
92 * 63,5796
13 / 80,0.16
77 / 65,1.18
84 + 8,92
82 - 32,50
9 * 58,522
83 * 5,415
46 / 17,2.71
97 - 83,14
72 / 73,0.99
57 + 10,67
11 / 32,0.34
91 / 47,1.94
99 + 94,193
75 / 59,1.27
48 + 13,61
51 - 16,35
68 / 98,0.69
79 * 49,3871
92 / 19,4.84
69 * 71,4899
25 / 1,25.0
73 + 11,84
59 * 46,2714
96 - 94,2
72 - 23,49
93 * 85,7905
16 - 98,-82
27 / 83,0.33
97 * 84,8148
7 * 50,350
97 * 48,4656
66 - 55,11
20 * 37,740
14 * 70,980
73 * 22,1606
11 * 75,825
38 * 73,2774
26 - 19,7
57 * 7,399
26 / 57,0.46
31 * 33,1023
82 - 1,81
97 - 14,83
91 - 82,9
32 + 33,65
35 / 39,0.9
47 + 94,141
99 + 86,185
2 - 36,-34
27 / 42,0.64
9 + 48,57
66 * 79,5214
55 / 71,0.77
79 - 46,33
81 / 28,2.89
36 / 53,0.68
99 + 70,169
25 / 36,0.69
81 - 10,71
70 + 67,137
15 - 47,-32
25 + 52,77
94 * 41,3854
63 / 67,0.94
98 / 37,2.65
62 / 19,3.26
94 + 98,192
12 + 28,40
6 / 35,0.17
57 + 11,68
43 + 40,83
35 - 1,34
80 / 97,0.82
5 - 51,-46
43 - 98,-55
61 - 88,-27
96 - 19,77
19 / 51,0.37
57 * 45,2565
89 * 83,7387
34 + 2,36
2 + 55,57
22 + 32,54
3 + 37,40
27 - 83,-56
80 / 34,2.35
26 / 32,0.81
74 / 4,18.5
39 * 47,1833
1 / 33,0.03
6 - 88,-82
26 + 29,55
28 + 48,76
97 / 82,1.18
13 - 69,-56
13 + 15,28
25 - 79,-54
64 - 99,-35
31 * 9,279
88 + 65,153
25 / 30,0.83
80 * 7,560
86 - 52,34
32 * 68,2176
17 + 67,84
71 * 76,5396
27 - 10,17
90 / 51,1.76
76 + 95,171
36 / 54,0.67
22 / 75,0.29
31 * 50,1550
13 / 89,0.15
87 - 41,46
90 * 67,6030
87 + 11,98
97 * 86,8342
61 / 99,0.62
30 - 56,-26
4 * 71,284
70 + 44,114
63 / 75,0.84
49 * 27,1323
40 - 49,-9
41 - 90,-49
8 - 31,-23
12 * 21,252
25 + 98,123
19 + 35,54
44 * 3,132
88 * 9,792
77 * 74,5698
30 - 78,-48
65 + 71,136
75 / 66,1.14
86 - 89,-3
48 * 24,1152
9 / 58,0.16
63 - 13,50
22 + 75,97
7 - 36,-29
64 + 26,90
38 + 67,105
25 - 15,10
27 * 41,1107
42 / 51,0.82
65 * 9,585
63 * 69,4347
49 - 53,-4
80 * 40,3200
22 * 24,528
33 / 14,2.36
55 + 27,82
56 + 56,112
17 / 34,0.5
88 / 62,1.42
64 - 98,-34
51 - 61,-10
5 - 35,-30
13 * 72,936
73 + 60,133
83 * 34,2822
5 * 1,5
6 - 17,-11
18 - 86,-68
9 + 19,28
82 / 56,1.46
70 - 91,-21
17 - 12,5
49 * 52,2548
61 * 17,1037
51 * 34,1734
53 * 68,3604
13 + 10,23
66 - 5,61
74 + 61,135
39 - 48,-9
97 - 1,96
39 * 55,2145
74 + 27,101
34 + 3,37
85 * 88,7480
46 + 34,80
63 + 37,100
26 - 78,-52
14 / 30,0.47
3 - 50,-47
60 * 56,3360
99 / 31,3.19
33 / 13,2.54
79 * 62,4898
97 - 42,55
35 * 65,2275
36 - 8,28
87 * 35,3045
23 / 63,0.37
36 / 81,0.44
7 + 15,22
89 / 2,44.5
74 / 57,1.3
92 * 29,2668
7 / 61,0.11
17 / 60,0.28
27 / 42,0.64
39 - 40,-1
10 - 30,-20
52 / 52,1.0
52 + 17,69
30 + 53,83
24 * 78,1872
73 - 49,24
69 / 37,1.86
28 + 85,113
91 + 98,189
62 - 33,29
60 - 71,-11
52 / 9,5.78
79 + 48,127
91 - 63,28
95 * 96,9120
10 - 59,-49
40 / 9,4.44
69 / 74,0.93
36 + 16,52
80 / 90,0.89
64 / 31,2.06
51 * 8,408
78 * 61,4758
55 - 54,1
61 - 85,-24
28 / 98,0.29
46 - 32,14
55 * 13,715
52 * 92,4784
80 + 45,125
55 + 13,68
18 / 16,1.12
30 / 19,1.58
23 - 28,-5
83 + 39,122
81 - 34,47
3 - 51,-48
42 / 22,1.91
82 + 25,107
39 + 53,92
76 + 28,104
40 / 34,1.18
61 / 82,0.74
16 - 19,-3
57 + 49,106
92 - 87,5
4 * 17,68
94 / 41,2.29
65 + 4,69
14 + 24,38
92 - 58,34
56 * 98,5488
93 - 59,34
85 + 48,133
40 / 3,13.33
94 * 98,9212
63 - 88,-25
2 / 28,0.07
39 - 33,6
96 + 45,141
73 * 29,2117
30 / 7,4.29
38 + 84,122
76 / 12,6.33
56 * 31,1736
60 - 50,10
69 / 16,4.31
93 / 73,1.27
30 - 66,-36
55 + 62,117
14 / 84,0.17
76 / 44,1.73
96 - 88,8
37 * 65,2405
16 * 84,1344
46 * 54,2484
95 + 90,185
55 - 21,34
61 - 38,23
68 - 5,63
71 / 35,2.03
14 * 75,1050
61 + 47,108
25 - 45,-20
17 - 75,-58
4 * 14,56
85 - 18,67
8 + 63,71
82 * 50,4100
34 / 65,0.52
35 / 94,0.37
70 / 37,1.89
40 * 92,3680
2 / 88,0.02
13 + 7,20
47 / 47,1.0
74 - 23,51
77 + 5,82
91 / 32,2.84
13 - 79,-66
56 * 34,1904
81 / 62,1.31
9 / 26,0.35
59 + 22,81
56 / 89,0.63
36 / 60,0.6
70 + 53,123
93 - 7,86
26 - 8,18
49 + 14,63
50 - 20,30
95 + 53,148
31 - 99,-68
2 + 9,11
71 + 17,88
76 + 88,164
93 / 31,3.0
46 - 20,26
78 * 31,2418
27 - 20,7
92 + 3,95
21 + 36,57
74 / 76,0.97
17 + 59,76
85 + 59,144
20 + 72,92
3 + 71,74
58 * 31,1798
6 + 44,50
89 - 64,25
40 * 66,2640
1 + 13,14
21 * 68,1428
71 + 56,127
70 * 37,2590
59 + 43,102
34 + 65,99
96 * 20,1920
62 + 63,125
77 + 55,132
33 / 10,3.3
96 + 7,103
40 / 67,0.6
80 + 93,173
31 - 82,-51
62 - 53,9
46 * 51,2346
81 - 84,-3
2 / 82,0.02
33 + 47,80
14 - 16,-2
92 * 92,8464
2 * 30,60
1 + 97,98
1 - 63,-62
74 / 57,1.3
19 - 51,-32
58 - 5,53
97 * 2,194
31 / 27,1.15
73 * 58,4234
63 / 84,0.75
9 / 8,1.12
88 * 48,4224
53 + 68,121
20 + 27,47
83 + 2,85
63 + 2,65
84 / 77,1.09
25 * 43,1075
9 + 98,107
37 + 39,76
9 - 5,4
48 / 74,0.65
1 - 61,-60
49 * 72,3528
31 * 93,2883
67 - 97,-30
81 + 4,85
17 - 85,-68
61 / 2,30.5
66 / 81,0.81
18 - 28,-10
74 - 33,41
45 - 55,-10
91 / 32,2.84
57 / 53,1.08
68 - 1,67
9 + 10,19
72 * 82,5904
79 + 49,128
31 / 1,31.0
69 + 11,80
79 - 96,-17
42 * 4,168
94 - 43,51
10 * 33,330
61 + 55,116
14 / 74,0.19
73 + 38,111
83 * 2,166
72 + 4,76
89 * 1,89
21 / 94,0.22
47 + 96,143
99 + 31,130
48 / 31,1.55
59 / 18,3.28
41 - 48,-7
68 * 46,3128
30 - 63,-33
77 + 59,136
98 * 56,5488
87 - 16,71
55 / 79,0.7
54 / 40,1.35
42 - 33,9
52 - 61,-9
13 + 96,109
53 * 72,3816
96 * 64,6144
9 * 29,261
49 / 10,4.9
1 * 77,77
43 * 98,4214
92 * 57,5244
15 / 46,0.33
57 / 77,0.74
90 + 94,184
53 / 22,2.41
19 / 18,1.06
81 + 28,109
16 / 9,1.78
12 * 95,1140
38 - 92,-54
57 + 5,62
92 + 37,129
96 / 23,4.17
50 / 67,0.75
67 * 45,3015
71 / 91,0.78
11 / 13,0.85
60 + 16,76
19 * 11,209
93 / 76,1.22
1 + 4,5
98 / 47,2.09
28 * 73,2044
45 - 18,27
75 - 57,18
69 / 93,0.74
21 + 54,75
85 * 42,3570
56 - 20,36
80 - 26,54
80 - 51,29
66 - 25,41
93 / 88,1.06
84 * 46,3864
31 - 82,-51
50 * 69,3450
36 / 81,0.44
28 / 94,0.3
24 + 2,26
38 - 84,-46
87 * 85,7395
57 + 14,71
21 * 77,1617
63 - 41,22
88 * 74,6512
99 * 81,8019
8 / 78,0.1
64 - 23,41
5 + 66,71
31 * 81,2511
1 * 63,63
74 + 63,137
78 * 61,4758
82 / 98,0.84
9 * 9,81
61 / 23,2.65
22 + 13,35
86 * 35,3010
41 - 42,-1
75 + 13,88
70 - 75,-5
15 / 36,0.42
55 - 34,21
36 / 88,0.41
12 * 94,1128
46 * 34,1564
84 / 56,1.5
56 / 49,1.14
60 * 86,5160
43 * 77,3311
48 / 69,0.7
97 + 92,189
1 * 10,10
15 / 56,0.27
63 + 27,90
76 + 10,86
38 / 93,0.41
4 + 90,94
95 + 35,130
64 / 26,2.46
44 * 36,1584
92 / 25,3.68
42 / 83,0.51
35 - 97,-62
38 * 88,3344
80 - 55,25
12 * 60,720
65 + 12,77
98 / 45,2.18
1 - 16,-15
99 * 90,8910
57 / 50,1.14
38 * 78,2964
36 + 54,90
85 + 88,173
9 * 21,189
4 + 52,56
79 + 80,159
73 / 15,4.87
4 / 42,0.1
11 / 30,0.37
65 * 94,6110
65 - 29,36
28 * 64,1792
53 / 90,0.59
40 - 57,-17
57 * 15,855
31 * 94,2914
74 * 83,6142
73 - 90,-17
99 / 84,1.18
99 + 24,123
22 - 27,-5
83 - 92,-9
89 - 25,64
19 + 61,80
36 * 54,1944
47 - 70,-23
97 - 28,69
48 - 6,42
16 * 37,592
20 + 40,60
80 + 7,87
8 * 6,48
43 / 92,0.47
19 - 20,-1
55 / 9,6.11
33 * 43,1419
84 - 21,63
15 / 73,0.21
22 * 57,1254
49 + 92,141
91 - 85,6
58 - 80,-22
37 - 46,-9
36 - 29,7
45 / 11,4.09
83 - 67,16
78 * 81,6318
35 + 73,108
15 / 49,0.31
49 + 85,134
18 * 94,1692
96 - 35,61
37 + 3,40
38 * 14,532
46 - 51,-5
6 - 25,-19
90 - 18,72
14 + 52,66
98 * 68,6664
64 * 7,448
87 * 76,6612
46 - 6,40
29 / 52,0.56
78 * 76,5928
70 + 95,165
21 - 72,-51
53 * 7,371
74 - 85,-11
24 - 10,14
20 + 20,40
27 + 38,65
13 - 65,-52
74 + 46,120
23 + 75,98
53 + 1,54
51 * 57,2907
99 + 98,197
11 * 89,979
37 * 14,518
9 * 33,297
93 - 93,0
56 * 54,3024
28 / 78,0.36
35 - 5,30
97 - 78,19
92 * 44,4048
62 * 12,744
50 / 1,50.0
6 - 27,-21
37 + 45,82
80 / 74,1.08
9 + 6,15
73 / 57,1.28
68 * 31,2108
69 * 56,3864
93 - 32,61
78 * 38,2964
13 / 3,4.33
77 * 10,770
54 + 36,90
91 * 9,819
18 - 48,-30
11 * 74,814
32 + 59,91
87 - 36,51
60 + 22,82
50 - 63,-13
79 * 58,4582
65 + 96,161
96 * 3,288
92 - 62,30
71 - 53,18
27 + 89,116
98 * 36,3528
97 * 91,8827
50 + 68,118
46 * 29,1334
21 + 67,88
9 - 52,-43
26 / 88,0.3
45 + 11,56
76 + 97,173
45 * 56,2520
54 - 73,-19
83 / 59,1.41
14 + 17,31
47 / 15,3.13
43 + 32,75
78 + 79,157
23 + 38,61
72 / 21,3.43
49 - 94,-45
59 - 13,46
87 - 38,49
64 * 80,5120
8 - 75,-67
17 - 58,-41
82 / 78,1.05
57 - 3,54
46 + 41,87
94 - 36,58
29 - 77,-48
87 + 84,171
56 / 24,2.33
97 * 41,3977
96 * 38,3648
82 + 30,112
72 * 23,1656
17 * 15,255
4 - 99,-95
42 + 89,131
9 - 97,-88
95 + 56,151
53 + 5,58
27 / 2,13.5
10 * 11,110
40 + 24,64
17 - 98,-81
18 / 31,0.58
70 * 6,420
92 + 7,99
96 / 63,1.52
69 * 18,1242
71 * 70,4970
33 / 16,2.06
34 / 5,6.8
94 + 13,107
55 - 30,25
98 - 17,81
73 / 64,1.14
88 / 51,1.73
85 * 69,5865
16 + 23,39
62 - 95,-33
3 * 48,144
54 * 80,4320
62 + 28,90
49 * 46,2254
26 + 38,64
6 - 99,-93
3 - 82,-79
85 - 76,9
97 + 52,149
87 - 4,83
51 - 71,-20
57 + 51,108
58 + 5,63
56 - 92,-36
33 * 73,2409
81 * 75,6075
70 + 14,84
1 / 97,0.01
56 * 88,4928
43 - 8,35
84 * 13,1092
92 / 18,5.11
6 - 38,-32
94 - 32,62
58 / 34,1.71
81 / 96,0.84
54 * 80,4320
70 + 21,91
72 - 30,42
63 - 1,62
82 + 34,116
60 / 83,0.72
99 - 15,84
65 - 55,10
58 + 30,88
51 / 75,0.68
8 - 46,-38
13 + 16,29
2 + 66,68
70 - 86,-16
48 / 74,0.65
70 + 66,136
25 / 49,0.51
15 / 34,0.44
64 + 74,138
16 - 84,-68
36 - 52,-16
56 + 99,155
79 - 83,-4
62 / 6,10.33
18 / 1,18.0
95 / 27,3.52
8 + 55,63
35 / 77,0.45
38 * 91,3458
80 / 14,5.71
71 + 62,133
31 - 24,7
23 * 1,23
24 - 78,-54
44 + 77,121
76 + 58,134
93 - 17,76
31 * 9,279
97 - 97,0
84 - 82,2
22 + 86,108
40 - 91,-51
77 / 93,0.83
95 - 94,1
21 - 92,-71
14 - 61,-47
8 - 44,-36
47 - 74,-27
28 - 62,-34
69 / 97,0.71
19 - 20,-1
34 * 74,2516
17 + 53,70
10 / 40,0.25
33 - 47,-14
41 + 75,116
30 / 59,0.51
2 + 78,80
52 + 76,128
56 + 68,124
5 / 7,0.71
92 + 69,161
11 - 20,-9
93 * 93,8649
57 + 41,98
58 * 64,3712
65 * 57,3705
3 - 98,-95
64 * 55,3520
52 * 75,3900
5 / 97,0.05
4 / 19,0.21
24 / 95,0.25
90 - 20,70
57 * 20,1140
15 + 90,105
1 * 2,2
72 / 13,5.54
30 + 50,80
12 * 4,48
56 + 56,112
84 / 29,2.9
69 + 48,117
25 + 95,120
53 / 43,1.23
40 + 14,54
94 - 61,33
82 * 1,82
49 - 91,-42
56 - 66,-10
39 / 5,7.8
97 - 46,51
94 / 44,2.14
82 / 48,1.71
75 * 73,5475
16 * 36,576
20 + 44,64
90 / 39,2.31
47 / 72,0.65
73 / 54,1.35
93 / 35,2.66
60 * 73,4380
43 * 75,3225
93 / 13,7.15
63 + 50,113
44 + 17,61
66 * 21,1386
92 / 71,1.3
83 / 40,2.08
55 - 20,35
8 / 38,0.21
77 * 50,3850
26 + 40,66
46 * 50,2300
70 - 3,67
69 - 42,27
79 / 47,1.68
64 + 83,147
91 / 16,5.69
1 / 64,0.02
79 / 32,2.47
7 / 42,0.17
95 / 67,1.42
98 - 16,82
44 * 93,4092
49 * 34,1666
91 - 84,7
37 / 36,1.03
67 + 42,109
72 + 50,122
32 * 53,1696
85 - 92,-7
27 / 40,0.68
2 - 24,-22
24 - 55,-31
88 - 19,69
57 / 34,1.68
11 - 15,-4
80 + 29,109
92 / 55,1.67
72 - 99,-27
53 - 97,-44
87 + 70,157
8 / 41,0.2
11 - 13,-2
42 * 84,3528
63 / 20,3.15
35 - 3,32
87 / 4,21.75
59 - 79,-20
7 - 60,-53
79 - 96,-17
80 - 56,24
86 / 39,2.21
18 * 38,684
89 / 20,4.45
97 * 97,9409
42 / 58,0.72
75 + 22,97
1 * 31,31
20 * 19,380
22 / 68,0.32
18 * 89,1602
36 / 64,0.56
79 * 89,7031
51 * 77,3927
4 * 23,92
64 - 61,3
10 - 42,-32
53 - 11,42
26 + 29,55
71 - 64,7
96 * 31,2976
8 / 7,1.14
30 + 9,39
52 - 1,51
7 * 71,497
43 / 45,0.96
68 * 24,1632
93 - 64,29
30 / 52,0.58
99 * 40,3960
84 - 52,32
70 * 82,5740
56 - 30,26
21 * 32,672
65 / 76,0.86
31 + 32,63
98 / 7,14.0
4 / 15,0.27
15 + 2,17
4 + 55,59
24 - 74,-50
90 * 16,1440
3 + 16,19
39 + 70,109
61 / 15,4.07
69 - 2,67
42 - 14,28
78 + 5,83
98 / 52,1.88
78 - 3,75
18 * 56,1008
40 * 11,440
81 + 31,112
32 * 5,160
47 / 38,1.24
39 + 35,74
97 * 17,1649
44 / 48,0.92
12 / 47,0.26
58 / 44,1.32
94 / 57,1.65
68 / 9,7.56
15 / 42,0.36
55 / 69,0.8
12 / 29,0.41
97 + 63,160
83 * 28,2324
1 - 12,-11
49 - 54,-5
99 - 24,75
94 * 93,8742
40 + 65,105
14 - 15,-1
65 / 24,2.71
23 / 21,1.1
25 + 7,32
96 * 68,6528
65 * 20,1300
41 * 90,3690
38 + 58,96
4 + 55,59
80 + 50,130
77 + 69,146
43 * 86,3698
7 + 88,95
60 + 79,139
35 - 6,29
85 / 62,1.37
15 / 31,0.48
52 + 81,133
85 + 10,95
89 / 12,7.42
59 - 5,54
34 / 41,0.83
2 - 80,-78
86 + 82,168
66 + 56,122
69 + 57,126
82 / 17,4.82
92 - 93,-1
55 * 39,2145
69 + 87,156
50 - 48,2
52 - 4,48
58 + 76,134
72 - 36,36
67 - 58,9
13 / 93,0.14
31 * 81,2511
31 + 69,100
26 + 18,44
24 + 62,86
20 + 35,55
1 - 39,-38
49 / 6,8.17
44 * 52,2288
53 - 12,41
70 / 1,70.0
14 * 29,406
48 / 55,0.87
62 + 60,122
67 + 92,159
6 / 57,0.11
59 + 59,118
53 * 87,4611
5 - 76,-71
66 + 60,126
50 - 29,21
22 * 48,1056
20 / 66,0.3
73 * 39,2847
11 * 64,704
40 + 96,136
31 / 22,1.41
54 + 70,124
96 / 44,2.18
46 / 17,2.71
52 / 52,1.0
41 - 49,-8
72 * 6,432
80 - 28,52
75 - 58,17
11 * 32,352
34 - 73,-39
78 / 28,2.79
27 - 79,-52
98 - 39,59
58 - 59,-1
20 + 45,65
93 / 90,1.03
96 / 44,2.18
32 + 72,104
3 - 97,-94
73 / 42,1.74
98 - 72,26
7 + 46,53
60 * 56,3360
19 * 21,399
56 / 51,1.1
95 * 88,8360
6 / 80,0.07
35 * 58,2030
51 * 47,2397
12 + 42,54
51 + 95,146
47 / 93,0.51
